,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Ref,Qty,Value,Footprint,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,Family,MPN,Manufacturer,Status
,,,,,,,,,,,,
Q1 ,1,IRLR9343TRPBF,Package_TO_SOT_SMD:TO-252-3_TabPin4,Discrete Semiconductor Products,https://www.infineon.com/dgdl/irlr9343pbf.pdf?fileId=5546d462533600a401535671a5722702,https://www.digikey.com/product-detail/en/infineon-technologies/IRLR9343TRPBF/IRLR9343TRPBFCT-ND/6556758,MOSFET P-CH 55V 20A DPAK ,IRLR9343TRPBFCT-ND,Transistors - FETs  MOSFETs - Single,RLR9343TRPBF ,Infineon Technologies,Active
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git),,,,,,,,,,,,
Generated ma. 23. des. 2019 kl. 08.48 +0100,,,,,,,,,,,,
